category_id,parent_id,category_name
2050,8360,Antiquities
9310,2050,The Americas
2050,8360,Antiquities
12264,2050,Byzantine
2050,8360,Antiquities
1402,2050,Celtic
2050,8360,Antiquities
8484,2050,Egyptian
2050,8360,Antiquities
597,2050,Far Eastern
2050,8360,Antiquities
3250,2050,Greek
2050,8360,Antiquities
9659,2050,Holy Land
2050,8360,Antiquities
8919,2050,Islamic
2050,8360,Antiquities
1328,2050,Near Eastern
2050,8360,Antiquities
9606,2050,Neolithic & Paleolithic
2050,8360,Antiquities
816,2050,Roman
2050,8360,Antiquities
7315,2050,South Italian
2050,8360,Antiquities
3849,2050,Viking
2050,8360,Antiquities
6888,2050,Reproductions
2050,8360,Antiquities
579,2050,Price Guides & Publications
2050,8360,Antiquities
9753,2050,Other Antiquities
2028,8360,Architectural & Garden
10395,2028,Balusters
2028,8360,Architectural & Garden
1234,2028,Barn Doors
2028,8360,Architectural & Garden
10051,2028,Beams
2028,8360,Architectural & Garden
8517,2028,Ceiling Tins
2028,8360,Architectural & Garden
833,2028,"Chandeliers, Fixtures, Sconces"
2028,8360,Architectural & Garden
2499,2028,Columns & Posts
2028,8360,Architectural & Garden
10621,2028,Corbels
2028,8360,Architectural & Garden
10029,2028,Doors
2028,8360,Architectural & Garden
1225,2028,Finials
2028,8360,Architectural & Garden
12284,2028,Fireplaces & Mantels
2028,8360,Architectural & Garden
1533,2028,Garden
2028,8360,Architectural & Garden
8973,2028,Hardware
8706,8973,Door Bells & Knockers
2028,8360,Architectural & Garden
8973,2028,Hardware
11449,8973,Door Knobs & Handles
2028,8360,Architectural & Garden
8973,2028,Hardware
8340,8973,Door Plates & Backplates
2028,8360,Architectural & Garden
8973,2028,Hardware
6284,8973,Drawer Pulls
2028,8360,Architectural & Garden
8973,2028,Hardware
7373,8973,Escutcheons & Key Hole Covers
2028,8360,Architectural & Garden
8973,2028,Hardware
10283,8973,Heating Grates & Vents
2028,8360,Architectural & Garden
8973,2028,Hardware
2440,8973,Hooks & Brackets
2028,8360,Architectural & Garden
8973,2028,Hardware
636,8973,Locks & Keys
2028,8360,Architectural & Garden
8973,2028,Hardware
4879,8973,Nails
2028,8360,Architectural & Garden
8973,2028,Hardware
12213,8973,Screws
2028,8360,Architectural & Garden
8973,2028,Hardware
8596,8973,Switch Plates & Outlet Covers
2028,8360,Architectural & Garden
