category_id,parent_id,category_name
3171,1358,chalk lines
2543,2295,erector sets
4693,2295,puppets
2135,2108,billiard chalk
2780,2834,portable game console cases
886,21,conferencing software
4645,4615,metalworking chisels
4575,2832,kids desks
5452,1998,metering pumps
2126,2107,fencing rapiers
1450,4968,business card holders
1666,2836,gift cards 
1483,403,acryl paints
2271,2840,HDD
1149,1147,stretch wrap films
4054,3459,travel bottles 
6196,2864,hair accessories
5546,5296,programmable toy accessories
4236,4230,frozen prepared salads
4457,2414,bath linens
4969,390,staplers 
3293,4899,food loops
4168,4167,tobacco 
5889,170,graphics card bridges
2379,2559,electrical distribution boards
2103,1980,baby sleeping 
3680,3678,baby bonnets
1658,1744,electric space heaters
4220,4219,whole fresh meat
2298,1988,bath games
4547,4898,wine aerators
5710,2515,dollhouse accessories
1603,1058,electronic filters
588,585,camera lenses
4616,1355,holding 
1861,1357,mechanics tool sets
155,150,mainframe computers
4828,4825,snap fasteners
4406,4405,car mirror covers
5649,5401,medical imaging cameras
5185,2869,smart garage door openers
1792,1058,DJ cartridges 
4747,4612,cabinet 
4403,4525,pesticides
5741,242,AV conferencing bridges
4356,4352,inflatable sofas
4309,4295,nut 
3576,3620,firearm
4709,1966,car window films
6113,6110,school uniforms
1527,1333,epilators
4046,4022,baking stone scrubbers
6221,2295,finger boards 
2690,4896,manual food choppers
6027,5974,pet glucose meters
3972,1748,foot air pumps
5992,4775,maternity dresses
4327,2581,body concentrates
332,197,endorsers
1113,854,accounting forms 
5788,5953,pet beds
122,107,answering machines
2535,2295,musical toys
1838,1296,Common Interface 
1262,1265,chips
2960,2776,face BB 
3989,2996,makeup sets
3181,4541,indoor benches
5538,823,waterproof pouches
2637,4885,teapots
5010,2103,sleep training clocks
5231,2,Augmented Reality 
5322,1358,marking gauges
3119,3116,after shave creams
1851,1259,artificial sweeteners
3846,2869,smart home multi
5098,5078,spinning top accessories
1160,4958,film adhesives
820,2868,security device components
2897,5913,electric scooters
4116,910,navigation HUD units
896,150,thin clients
4419,1960,footbags
5855,4810,сarpeting
4861,4860,gastrointestinal system drugs
6142,6138,fine jewellery necklaces
5048,2709,manicure scissors
5554,1684,laundry pedestals
2290,1945,industrial endoscopes
2862,2864,hair shampoos
5732,4966,mosaic bases
5879,4208,bakery improvers 
3025,3012,child sunscreens
2907,2581,shower gels
4794,4793,aquatic plants
6161,6140,cuff links
5637,1065,standing desks
2801,2767,multifunction tool attachments
3861,1966,tire pressure gauges
4033,1280,braces
5143,1315,electric tigelliere
2840,206,data storage devices
1605,1228,antistatic wrist straps
5523,5663,dominoes
4354,4352,inflatable lounge chairs
4613,1355,cutting
788,839,warranty 
4173,4168,herbal cigarettes
2626,2769,hacksaw blades
4107,4786,touchscreen gloves
2718,1677,sink waste disposers
5810,5814,pet muzzles
4367,2295,baby hanging toys
4701,2114,basketball systems
3013,1280,perfumery
2542,2295,toy models
3964,4880,kitchen protective grips 
1825,4974,correction media
4664,4012,electronic tuners
1843,1228,signage
3984,4474,decorative sand
4638,4966,craft tapes
3454,4884,lunch boxes
5390,1883,petrol tools
5942,2274,electric meter packs
2447,1884,power multi
5651,4525,composters
2491,2715,motorcycle light bulbs
4304,4168,hand rolling tobacco
1791,4972,print spooling devices
1406,1315,juice makers
5639,1305,media spindle adapters
3104,4882,pastry wheels
5499,4880,tea filter bags
1789,242,network interface processors
4466,4456,napkin rings
254,242,ISDN access devices
2833,1,computers 
5084,1988,baby bathing 
1024,373,toner collectors
3139,3012,sunscreen tinted moisturizers
3345,1331,washing machine parts 
5721,1835,craft fabrics
2623,1358,levels
1942,2510,dashcams
306,4948,paper cutters
1910,236,drive bay panels
1109,403,drawing boards
1945,2835,measuring
5290,5278,weep hole accessories
6190,1171,flashlight cases
5461,6102,women
1698,1986,toddler feeding
2153,1990,climbing chalk bags
1419,2707,cool boxes
4946,1,QA_Gegos_just_category
2438,2035,money boxes
4400,1938,laundry drying rack 
446,431,manual letter openers
1256,4885,food service trays
3967,5833,pet drinking bottles
4065,2714,gas cartridge 
5729,5667,dart holders
4179,4176,prepared fresh vegetables
3288,1280,razor blades
2611,1333,facial cleansing brushes
434,431,window envelopes
6115,6110,food service uniforms
2852,1677,sink baskets 
5244,4776,plumbing systems
3954,2295,fancy 
3165,1966,vehicle silencers
3939,1119,party hats
2228,2115,sport canoes
5923,2835,industrial cleaners
4026,4882,pizza making sets
3696,4881,fondue pots
1908,1884,power planers
5997,4786,bow ties
1269,1684,laundry baskets
1452,1293,globes
5124,5913,motor scooters
4702,1732,accordions
4276,4273,soy milk
1070,854,non
3255,4918,security alarm systems
5771,1866,camping chair accessories
3812,3807,unisex pajamas
3505,1962,bicycle tires
2215,2115,surfboard fins
5884,5880,pet oral care water
5211,1578,women
2038,1884,power fine
1382,4918,security access control systems
1782,1315,ice crushers
453,4974,writing instruments
3319,897,tablet security enclosures
3566,4454,toilet mats
1305,225,print 
1725,1058,audio mixers
6018,6016,aquarium gravel cleaners
3866,4525,plant protection covers
1006,558,projection lenses
1203,4918,padlocks
3525,585,photographer
3143,3012,sunscreen foaming lotions
3958,2115,swimming sets
3437,2647,smartwatch accessories
4058,3474,camping cookware accessories
5372,2295,jumbo speed balls
1734,1732,music drums
2221,2115,windsurfing boards
3621,3580,shotshell reloading supplies
376,373,printer rollers
47,21,labeling software
4666,4072,saxophones
4159,1266,still water
4207,3712,crackers
1369,1265,baked goods
5625,2332,LED panel lights
4705,1209,safety helmet accessories
5325,5318,edible glitters 
2176,2113,skateboard bearings
4103,910,navigator chargers 
5955,2248,reptile 
5306,4776,surface preparation products
2705,1280,waxing kits
2477,1747,shower holders
3586,3580,handgun grips
492,4956,paper clips
1819,1684,bins 
3478,1119,glow sticks
3420,4977,engine oils
5181,4885,cheese dishes
932,2840,NAS 
5905,4881,milk pans
905,373,printer ribbons
4253,1265,seasonings 
3887,2845,night vision devices 
2979,4918,blind
4018,4017,desk tool bar
4779,4775,maternity underwear
3913,2498,kids
3786,1,"          <Name ID=""1045746"" langid=""1"">children's art &amp; craft activity</Name>
"
4017,4968,desk tool bars
4162,220,flat panel spare parts
3956,2498,kids
5198,2116,winter sport body protection
3655,1985,baby 
2741,4012,guitar cases
4567,4559,bar furniture sets
6123,4885,jam bowls
6219,6230,toy 
1806,1808,lighting rings
5045,1280,sexual wellness
5085,4525,garden bags
4180,4176,fresh olives
1646,2,charting software
6024,5954,aquatic plant fertilizers
843,225,printer films
4973,225,scanning equipment
3092,4880,toothpick dispensers
2303,1988,baby shampoos
4660,1732,violins
4057,4884,spice containers
2922,830,S
2883,2024,beach chairs
4896,4880,kitchen tools
6048,5819,pet nail polishes
4439,3502,wall art pieces
5929,5928,thermocouple accessories
5014,2103,baby bed blocks
4351,2115,electric outboard motors
5447,3800,hockey goal accessories
3987,1215,chair back supports
4218,1259,cane sugar
1855,2845,rifle scopes
6187,2112,beach tennis rackets
2540,2295,model railways 
4670,2301,diaper pail accessories
6062,5955,reptile 
4167,1265,tobacco 
5497,5318,gum pastes
5402,5401,respiratory
3899,4918,RFID tags
5527,4885,cereal dispensers
4126,1987,baby safety helmets
3665,1966,car roof racks
62,2,antivirus security software
3532,3531,bathroom vanities 
5221,4966,shrink plastic sheets
2986,3026,hair masks
4451,4444,window shades
3922,4827,fly swatters
3544,4881,fish kettles
249,114,data service units
5548,5476,sand 
2757,1163,metal
1814,692,telephone message pads
826,823,backpacks
3828,1280,aroma diffusers
2329,453,pen refills
1805,1808,lamp shades
3148,4885,coffee pots
868,692,barcode labels
3050,4896,measuring cups
5514,1736,slicer parts 
4487,4454,kid
3636,1961,yoga mats
4601,2024,patio furniture covers
3634,4786,caps 
65,55,system management software
4346,1945,industrial environmental sensors 
1425,1986,feeding bottles
3271,6175,baby 
4232,4230,frozen poultry
1261,4291,instant soups
1478,438,self
21,2,multimedia software
5807,2248,pet safety nets
2971,2581,body milks
1562,1280,digital body thermometers
1582,830,neon cables
3867,4898,wine preserving pumps
152,151,notebook docks 
4259,1370,mayonnaise
2911,4762,rakes
4242,4230,frozen combination meals
4699,1696,humidifier parts 
4461,4455,bed runners
5173,823,eyeglass cases
1611,587,tripods accessories
1447,4950,label holders
5781,1962,bicycle rearview cameras
3518,4457,beach towels
3966,5821,pet waste bag dispensers
3269,6175,men
1871,220,information kiosks
1595,1884,angle grinders
1368,1843,warning signs
3428,3426,electric hoists
5156,4890,kitchen knife bags 
5793,5789,sonic pet repellents
4456,2414,dining linens
3646,1990,climbing descenders
5846,1280,incontinence products
6034,5819,pet nail clippers
2474,4885,oil
1252,1249,WC accessories
6054,4775,maternity outerwear
4350,1986,baby nail scissors 
3083,1315,polenta mixers
3719,3694,winter sport carrier accessories
819,2868,security devices
5782,5812,dog safety vests
1304,1058,CD players
4584,1065,office shelving units
4507,4474,door draft stoppers
4678,1315,electric tomato squeezers
889,1305,language fonts
4853,2498,kids
5344,4958,wallpaper removers
6005,6002,aquarium air pump accessories
4927,3940,shot glasses
6237,6232,craft foil 
2910,4762,augers
4998,4810,tiles
4558,1449,identity badge holder accessories
3878,1293,map measurers
3185,1280,men
4819,4817,automotive fillers
859,558,projector accessories
4551,1333,electric massage chairs
1081,1058,loudspeakers
2321,2025,sofas
3401,3397,cats moist food
1475,1280,cosmetic tweezers
4495,2028,bathroom 
574,571,film cameras
3574,2111,equestrian body protectors
4201,4194,lemons
2270,1243,mop accessories
5079,4915,dummy alarm boxes
5397,4765,irrigation drippers
5423,4762,hedge clippers 
1086,1058,TV set
2664,1658,electric space heater accessories
