category_id,parent_id,category_name
3171,1358,kreidinės žymėjimo linijos
2543,2295,montavimo rinkiniai
4693,2295,lėlės
2135,2108,billiard chalk
2780,2834,nešiojamųjų žaidimų kompiuterių dėklai
886,21,konferencijų programinė įranga
4645,4615,metalo apdirbimo kaltai
4575,2832,"        <Name ID=""2080404"" Value="""" langid=""39""/>
"
5452,1998,matavimo siurbliai
2126,2107,fencing rapiers
1450,4968,vizitinių kortelių laikikliai
1666,2836,dovanų kortelės ir sertifikatai
1483,403,akriliniai dažai
2271,2840,HDD 
1149,1147,tamprios pakavimo plėvelės
4054,3459,kelioniniai buteliukai ir indeliai
6196,2864,"        <Name ID=""3143631"" Value="""" langid=""39""/>
"
5546,5296,programuojamų žaislų priedai
4236,4230,"        <Name ID=""1934414"" Value="""" langid=""39""/>
"
4457,2414,vonios tekstilė
4969,390,segikliai ir skylamušiai
3293,4899,maistinės kilpos
4168,4167,tabakas ir jo pakaitalai
5889,170,"        <Name ID=""3065960"" Value="""" langid=""39""/>
"
2379,2559,elektros paskirstymo skydai
2103,1980,reikmenys kūdikių miegui ir patalynė
3680,3678,kepuraitės kūdikiams
1658,1744,elektriniai patalpų šildytuvai
4220,4219,"        <Name ID=""1933540"" Value="""" langid=""39""/>
"
2298,1988,"        <Name ID=""2509194"" Value="""" langid=""39""/>
"
4547,4898,vyno aeratoriai
5710,2515,"        <Name ID=""2852034"" Value="""" langid=""39""/>
"
1603,1058,elektroniniai filtrai
588,585,fotoaparatų objektyvai
4616,1355,spaustuvai ir užspaudimo įrankiai
1861,1357,mechanikos įrankių komplektai
155,150,universalieji kompiuteriai
4828,4825,"        <Name ID=""2158120"" Value="""" langid=""39""/>
"
4406,4405,"        <Name ID=""2027491"" Value="""" langid=""39""/>
"
5649,5401,"        <Name ID=""2814639"" Value="""" langid=""39""/>
"
5185,2869,"        <Name ID=""2373044"" Value="""" langid=""39""/>
"
1792,1058,DJ patefonų adatos ir adatėlės
4747,4612,spintų ir baldų techninė įranga
4403,4525,"        <Name ID=""2506904"" Value="""" langid=""39""/>
"
5741,242,"        <Name ID=""2864516"" Value="""" langid=""39""/>
"
4356,4352,pripučiamos sofos
4309,4295,riešutų ir mišrios užtepėlės
3576,3620,ginklai
4709,1966,automobilių stiklų tamsinimo plėvelės
6113,6110,"        <Name ID=""3125542"" Value="""" langid=""39""/>
"
1527,1333,epiliatoriai
4046,4022,kepimo akmenų šveitikliai
6221,2295,"        <Name ID=""3148199"" Value="""" langid=""39""/>
"
2690,4896,rankinės maisto pjaustyklės
6027,5974,"        <Name ID=""3112825"" Value="""" langid=""39""/>
"
3972,1748,kojinės pompos
5992,4775,"        <Name ID=""3108049"" Value="""" langid=""39""/>
"
4327,2581,koncentratai kūnui
332,197,spausdintuvai papildomiems duomenims spausdinti
1113,854,buhalterinės apskaitos blankai ir knygos
5788,5953,"        <Name ID=""3021332"" Value="""" langid=""39""/>
"
122,107,automatiniai atsakikliai
2535,2295,muzikiniai žaislai
1838,1296,bendrosios sąsajos 
1262,1265,bulvių traškučiai
2960,2776,veido BB ir CC kremai
3989,2996,makiažo priemonių rinkiniai
3181,4541,kambariniai suolai
5538,823,vandeniui atsparūs dėklai
2637,4885,arbatinukai
5010,2103,laikrodžiai
5231,2,"        <Name ID=""2404976"" Value="""" langid=""39""/>
"
5322,1358,matavimo ir ženklinimo prietaisai
3119,3116,kremai po skutimosi
