ancestor,descendant,depth
0,0,0
1,1,0
2,2,0
2,1215,1
2,1623,1
2,2502,1
2,2915,1
2,4573,1
2,5254,1
2,6283,1
2,9598,1
2,9908,1
2,10277,1
2,10445,1
2,10771,1
2,11596,1
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
14,725,1
14,2387,1
14,8209,1
14,10257,1
14,12709,1
14,13182,1
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
20,740,1
20,9793,1
20,11796,1
20,12798,1
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
37,89,1
37,7261,1
37,7551,1
37,8675,1
37,8965,1
37,11838,1
37,13108,1
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
45,100,1
45,991,1
45,1896,1
45,3730,1
45,5098,1
45,6532,1
45,8674,1
45,11016,1
45,12406,1
46,46,0
47,47,0
48,48,0
49,49,0
50,50,0
50,56,1
50,146,1
50,478,1
50,540,3
50,761,2
50,762,1
50,985,1
50,1461,1
50,1755,2
50,1957,1
50,1960,1
50,2174,1
50,2311,2
50,2318,1
50,2351,2
50,2823,1
50,3048,1
50,3345,1
50,3437,1
50,3955,2
50,4010,1
50,4111,1
50,4131,2
50,4166,1
50,4470,2
50,4505,1
50,4959,2
50,5093,2
50,5093,3
50,5163,2
50,5177,1
50,5220,1
50,5532,1
50,5568,3
50,5859,1
50,6187,1
50,6353,1
50,6426,1
50,6509,1
50,6829,2
50,6990,1
50,7171,1
50,7194,1
50,7237,1
50,7309,1
50,7377,1
50,7623,2
50,7623,3
50,7858,1
50,7896,1
50,7897,2
50,7900,2
50,8266,3
50,8381,3
50,8585,2
50,8789,1
50,8886,1
50,9072,3
50,9097,1
50,9206,1
50,9238,1
50,9294,2
50,10120,1
50,10163,2
50,10198,1
50,10256,1
50,10607,2
50,10736,1
50,10930,3
50,10955,2
50,11101,1
50,11123,1
50,11175,1
50,11372,1
50,11473,1
50,11489,1
50,11601,1
50,11728,3
50,11956,1
50,12000,2
50,12159,3
50,12267,1
50,12304,3
50,12367,1
50,12420,2
50,12620,1
50,12633,1
50,12669,1
50,13081,2
50,13081,3
51,51,0
51,1342,1
51,1728,1
51,1805,1
51,6816,1
51,10091,1
52,52,0
53,53,0
54,54,0
55,55,0
56,56,0
57,57,0
58,58,0
58,391,1
58,2424,1
58,6223,1
58,12593,1
58,12640,1
59,59,0
60,60,0
60,230,2
60,515,1
60,579,1
60,705,1
60,1642,2
60,1756,1
60,1839,1
60,2042,1
60,2141,2
60,2150,2
60,2588,2
60,2777,2
60,2893,1
60,3255,2
60,3321,2
60,3348,2
60,4052,1
60,4180,2
60,4337,2
60,4899,2
60,5237,1
60,6794,2
60,6888,2
60,6960,2
60,7537,1
60,7589,1
60,7820,2
60,7898,1
60,10011,2
60,10130,2
60,10252,1
60,10546,2
60,11763,2
60,11899,2
60,12020,1
60,12320,2
61,35,1
61,61,0
61,298,1
61,574,2
61,603,1
61,718,2
61,740,3
61,1691,2
61,1870,1
61,2095,2
61,2387,2
61,2796,2
61,3020,1
61,3183,1
61,3361,1
61,3454,1
61,3676,1
61,3951,1
61,3994,2
61,4039,1
61,4304,1
61,4354,1
61,4765,1
61,4954,1
61,5074,3
61,5488,1
61,5682,1
61,5814,1
61,5949,1
61,6098,2
61,6481,1
61,6732,1
61,6745,2
61,6771,1
61,6795,1
61,7062,2
61,7857,1
61,7976,1
61,8057,3
61,8235,2
61,8622,2
61,8954,1
61,9646,2
61,9793,2
61,10214,2
61,10755,1
61,10864,1
61,11068,2
61,11093,1
61,11235,1
61,11887,1
61,12239,1
61,12289,1
61,12841,1
61,13020,2
61,13154,2
62,62,0
63,63,0
64,64,0
65,65,0
65,483,1
65,714,2
65,1686,1
65,2596,2
65,3443,1
65,3585,1
65,4194,1
65,5160,2
65,7258,2
65,8557,2
65,8731,1
65,9053,2
65,9796,1
65,10648,2
65,11498,2
65,12757,1
65,12805,1
65,12805,2
66,66,0
67,67,0
68,68,0
69,69,0
70,70,0
71,71,0
72,72,0
72,1265,1
72,5136,1
72,7554,1
72,8356,1
72,8992,1
72,11341,1
73,73,0
74,74,0
75,75,0
76,76,0
77,77,0
78,78,0
79,79,0
80,80,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
96,96,0
97,97,0
97,135,3
97,147,3
97,526,3
97,1001,1
97,1414,3
97,1434,2
97,2619,3
97,2810,2
97,3225,3
97,3444,2
97,3694,3
97,3815,3
97,4298,1
97,5038,3
97,5392,2
97,7046,1
97,7468,3
97,7540,3
97,8771,1
97,8772,3
97,8994,2
97,9679,3
97,9708,2
97,10062,1
97,10132,3
97,10590,2
97,13094,1
98,98,0
99,99,0
99,1900,1
99,2250,1
99,2564,1
99,2765,1
99,4227,1
99,4546,1
99,5253,1
99,6121,1
99,7160,1
100,100,0
100,708,2
100,735,1
100,1103,1
100,1133,2
100,1171,1
100,1376,2
100,1635,1
100,2590,1
100,2651,2
100,4035,2
100,4405,2
100,5134,2
100,5188,2
100,5416,2
100,5894,2
100,6154,2
100,6308,2
100,6328,1
100,6450,1
100,6844,2
100,7548,1
100,7857,2
100,7976,2
100,8161,1
100,8244,2
100,8954,2
100,9611,1
100,9695,2
100,11540,2
100,12291,1
101,101,0
102,102,0
103,103,0
104,104,0
105,105,0
105,4194,1
105,4986,1
105,5897,1
105,12244,1
106,106,0
107,107,0
108,108,0
109,109,0
110,110,0
111,111,0
112,112,0
113,108,1
113,113,0
113,938,1
113,5108,1
113,7055,1
113,7682,1
113,7771,1
113,8416,1
113,10908,1
113,13253,1
114,114,0
115,115,0
116,116,0
117,117,0
118,118,0
119,119,0
120,120,0
121,121,0
121,6732,1
121,6771,1
121,7857,1
121,7976,1
121,8201,1
121,8954,1
121,12099,1
122,122,0
123,123,0
124,124,0
125,125,0
125,4230,1
125,4848,1
125,5184,1
125,6773,1
125,12640,1
126,126,0
127,127,0
128,128,0
128,5452,1
128,6897,1
128,8901,1
128,10749,1
129,129,0
130,130,0
131,131,0
132,132,0
133,133,0
134,134,0
135,135,0
136,136,0
137,137,0
138,138,0
139,139,0
140,140,0
141,141,0
142,142,0
143,143,0
144,144,0
145,145,0
146,146,0
147,147,0
148,148,0
149,149,0
150,150,0
151,151,0
152,152,0
153,153,0
154,154,0
155,155,0
156,156,0
157,157,0
158,158,0
159,159,0
160,160,0
161,161,0
162,162,0
163,163,0
164,164,0
165,165,0
165,208,1
165,349,2
165,692,2
165,725,2
165,834,2
165,1097,2
165,1507,2
165,1710,1
165,1710,2
165,1944,2
165,2051,1
165,2873,2
165,3023,2
165,3539,2
165,3742,2
165,5063,1
165,5750,2
165,6477,2
165,6662,1
165,6861,2
165,7251,2
165,7695,1
165,8014,2
165,8209,2
165,8260,1
165,10257,2
165,10423,1
165,10620,2
165,11305,2
165,11337,2
165,11348,2
165,11564,2
165,11584,1
165,12686,1
165,12795,2
165,13182,2
166,166,0
166,9286,1
166,9579,1
166,12395,1
167,167,0
168,168,0
169,169,0
170,170,0
171,171,0
172,172,0
173,173,0
174,174,0
175,175,0
176,176,0
177,177,0
178,178,0
179,179,0
180,180,0
181,181,0
182,182,0
183,183,0
184,184,0
185,185,0
186,186,0
187,187,0
187,4735,1
187,6909,1
188,188,0
189,189,0
