ancestor,descendant,depth
3171,3171,0
1358,3171,1
1355,3171,2
1883,3171,3
2830,3171,4
1,3171,5
2543,2543,0
2295,2543,1
1980,2543,2
1,2543,3
4693,4693,0
2295,4693,1
1980,4693,2
1,4693,3
2135,2135,0
2108,2135,1
1960,2135,2
1,2135,3
2780,2780,0
2834,2780,1
2836,2780,2
1,2780,3
886,886,0
21,886,1
2,886,2
2833,886,3
1,886,4
4645,4645,0
4615,4645,1
1355,4645,2
1883,4645,3
2830,4645,4
1,4645,5
4575,4575,0
2832,4575,1
2831,4575,2
2830,4575,3
1,4575,4
5452,5452,0
1998,5452,1
1990,5452,2
1960,5452,3
1,5452,4
2126,2126,0
2107,2126,1
1960,2126,2
1,2126,3
1450,1450,0
4968,1450,1
390,1450,2
4974,1450,3
300,1450,4
1,1450,5
1666,1666,0
2836,1666,1
1,1666,2
1483,1483,0
403,1483,1
4941,1483,2
2836,1483,3
1,1483,4
2271,2271,0
2840,2271,1
206,2271,2
2833,2271,3
1,2271,4
1149,1149,0
1147,1149,1
4955,1149,2
300,1149,3
1,1149,4
4054,4054,0
3459,4054,1
1965,4054,2
1,4054,3
6196,6196,0
2864,6196,1
1280,6196,2
1,6196,3
5546,5546,0
5296,5546,1
2295,5546,2
1980,5546,3
1,5546,4
4236,4236,0
4230,4236,1
4219,4236,2
1265,4236,3
1,4236,4
4457,4457,0
2414,4457,1
2028,4457,2
2830,4457,3
1,4457,4
4969,4969,0
390,4969,1
4974,4969,2
300,4969,3
1,4969,4
3293,3293,0
4899,3293,1
4880,3293,2
1332,3293,3
2830,3293,4
1,3293,5
4168,4168,0
4167,4168,1
1265,4168,2
1,4168,3
5889,5889,0
170,5889,1
2844,5889,2
106,5889,3
2833,5889,4
1,5889,5
2379,2379,0
2559,2379,1
2554,2379,2
2835,2379,3
1,2379,4
2103,2103,0
1980,2103,1
1,2103,2
3680,3680,0
3678,3680,1
6082,3680,2
1575,3680,3
1,3680,4
1658,1658,0
1744,1658,1
1314,1658,2
2830,1658,3
1,1658,4
4220,4220,0
4219,4220,1
1265,4220,2
1,4220,3
2298,2298,0
1988,2298,1
1980,2298,2
1,2298,3
4547,4547,0
4898,4547,1
4880,4547,2
1332,4547,3
2830,4547,4
1,4547,5
5710,5710,0
2515,5710,1
2295,5710,2
1980,5710,3
1,5710,4
1603,1603,0
1058,1603,1
2833,1603,2
1,1603,3
588,588,0
585,588,1
571,588,2
2833,588,3
1,588,4
4616,4616,0
1355,4616,1
1883,4616,2
2830,4616,3
1,4616,4
1861,1861,0
1357,1861,1
1355,1861,2
1883,1861,3
2830,1861,4
1,1861,5
155,155,0
150,155,1
2833,155,2
1,155,3
4828,4828,0
4825,4828,1
5620,4828,2
4941,4828,3
2836,4828,4
1,4828,5
4406,4406,0
4405,4406,1
1966,4406,2
1965,4406,3
1,4406,4
5649,5649,0
5401,5649,1
1,5649,2
5185,5185,0
2869,5185,1
2868,5185,2
2830,5185,3
1,5185,4
1792,1792,0
1058,1792,1
2833,1792,2
1,1792,3
4747,4747,0
4612,4747,1
1883,4747,2
2830,4747,3
1,4747,4
4403,4403,0
4525,4403,1
3538,4403,2
2830,4403,3
1,4403,4
5741,5741,0
242,5741,1
2833,5741,2
1,5741,3
4356,4356,0
4352,4356,1
2831,4356,2
2830,4356,3
1,4356,4
4309,4309,0
4295,4309,1
1265,4309,2
1,4309,3
3576,3576,0
3620,3576,1
1,3576,2
4709,4709,0
1966,4709,1
1965,4709,2
1,4709,3
6113,6113,0
6110,6113,1
6082,6113,2
1575,6113,3
1,6113,4
1527,1527,0
1333,1527,1
1280,1527,2
1,1527,3
4046,4046,0
4022,4046,1
4882,4046,2
1332,4046,3
2830,4046,4
1,4046,5
6221,6221,0
2295,6221,1
1980,6221,2
1,6221,3
2690,2690,0
4896,2690,1
4880,2690,2
1332,2690,3
2830,2690,4
1,2690,5
6027,6027,0
5974,6027,1
2248,6027,2
1,6027,3
3972,3972,0
1748,3972,1
3538,3972,2
2830,3972,3
1,3972,4
5992,5992,0
4775,5992,1
1578,5992,2
6082,5992,3
1575,5992,4
1,5992,5
4327,4327,0
2581,4327,1
2980,4327,2
1280,4327,3
1,4327,4
332,332,0
197,332,1
4973,332,2
225,332,3
2833,332,4
1,332,5
1113,1113,0
854,1113,1
4974,1113,2
300,1113,3
1,1113,4
5788,5788,0
5953,5788,1
2248,5788,2
1,5788,3
122,122,0
107,122,1
2833,122,2
1,122,3
2535,2535,0
2295,2535,1
1980,2535,2
1,2535,3
1838,1838,0
1296,1838,1
1058,1838,2
2833,1838,3
1,1838,4
1262,1262,0
1265,1262,1
1,1262,2
2960,2960,0
2776,2960,1
2980,2960,2
1280,2960,3
1,2960,4
3989,3989,0
2996,3989,1
1280,3989,2
1,3989,3
3181,3181,0
4541,3181,1
2831,3181,2
2830,3181,3
1,3181,4
5538,5538,0
823,5538,1
1575,5538,2
1,5538,3
2637,2637,0
4885,2637,1
1272,2637,2
1332,2637,3
2830,2637,4
1,2637,5
5010,5010,0
2103,5010,1
1980,5010,2
1,5010,3
5231,5231,0
2,5231,1
2833,5231,2
1,5231,3
5322,5322,0
1358,5322,1
1355,5322,2
1883,5322,3
2830,5322,4
1,5322,5
3119,3119,0
3116,3119,1
1280,3119,2
1,3119,3
1851,1851,0
1259,1851,1
1265,1851,2
1,1851,3
3846,3846,0
2869,3846,1
2868,3846,2
2830,3846,3
1,3846,4
5098,5098,0
5078,5098,1
2295,5098,2
1980,5098,3
1,5098,4
1160,1160,0
4958,1160,1
4776,1160,2
2830,1160,3
1,1160,4
820,820,0
2868,820,1
2830,820,2
1,820,3
2897,2897,0
5913,2897,1
1965,2897,2
1,2897,3
4116,4116,0
910,4116,1
107,4116,2
2833,4116,3
1,4116,4
896,896,0
150,896,1
2833,896,2
1,896,3
4419,4419,0
1960,4419,1
1,4419,2
5855,5855,0
4810,5855,1
4776,5855,2
2830,5855,3
1,5855,4
4861,4861,0
4860,4861,1
1,4861,2
6142,6142,0
6138,6142,1
6136,6142,2
6135,6142,3
1575,6142,4
1,6142,5
5048,5048,0
2709,5048,1
1280,5048,2
1,5048,3
5554,5554,0
1684,5554,1
2830,5554,2
1,5554,3
2290,2290,0
1945,2290,1
2835,2290,2
1,2290,3
2862,2862,0
2864,2862,1
1280,2862,2
1,2862,3
5732,5732,0
4966,5732,1
4941,5732,2
2836,5732,3
1,5732,4
5879,5879,0
4208,5879,1
3712,5879,2
1265,5879,3
1,5879,4
3025,3025,0
3012,3025,1
2980,3025,2
1280,3025,3
1,3025,4
2907,2907,0
2581,2907,1
2980,2907,2
1280,2907,3
1,2907,4
4794,4794,0
4793,4794,1
3538,4794,2
2830,4794,3
1,4794,4
6161,6161,0
6140,6161,1
6136,6161,2
6135,6161,3
1575,6161,4
1,6161,5
5637,5637,0
1065,5637,1
300,5637,2
1,5637,3
2801,2801,0
2767,2801,1
1883,2801,2
2830,2801,3
1,2801,4
3861,3861,0
1966,3861,1
1965,3861,2
1,3861,3
4033,4033,0
1280,4033,1
1,4033,2
5143,5143,0
1315,5143,1
1314,5143,2
2830,5143,3
1,5143,4
2840,2840,0
206,2840,1
2833,2840,2
1,2840,3
1605,1605,0
1228,1605,1
2835,1605,2
1,1605,3
5523,5523,0
5663,5523,1
1293,5523,2
2836,5523,3
1,5523,4
4354,4354,0
4352,4354,1
2831,4354,2
2830,4354,3
1,4354,4
4613,4613,0
1355,4613,1
1883,4613,2
2830,4613,3
1,4613,4
788,788,0
839,788,1
2833,788,2
1,788,3
4173,4173,0
4168,4173,1
4167,4173,2
1265,4173,3
1,4173,4
2626,2626,0
2769,2626,1
2767,2626,2
1883,2626,3
2830,2626,4
1,2626,5
4107,4107,0
4786,4107,1
6082,4107,2
1575,4107,3
1,4107,4
2718,2718,0
1677,2718,1
1747,2718,2
1314,2718,3
2830,2718,4
1,2718,5
5810,5810,0
5814,5810,1
2248,5810,2
1,5810,3
4367,4367,0
2295,4367,1
1980,4367,2
1,4367,3
4701,4701,0
2114,4701,1
1960,4701,2
1,4701,3
3013,3013,0
1280,3013,1
1,3013,2
2542,2542,0
2295,2542,1
1980,2542,2
1,2542,3
3964,3964,0
4880,3964,1
1332,3964,2
2830,3964,3
1,3964,4
1825,1825,0
4974,1825,1
300,1825,2
1,1825,3
4664,4664,0
4012,4664,1
1732,4664,2
2836,4664,3
1,4664,4
1843,1843,0
1228,1843,1
2835,1843,2
1,1843,3
3984,3984,0
4474,3984,1
2028,3984,2
2830,3984,3
1,3984,4
4638,4638,0
4966,4638,1
4941,4638,2
2836,4638,3
1,4638,4
3454,3454,0
4884,3454,1
1332,3454,2
2830,3454,3
1,3454,4
5390,5390,0
1883,5390,1
2830,5390,2
1,5390,3
5942,5942,0
2274,5942,1
2558,5942,2
2554,5942,3
2835,5942,4
1,5942,5
2447,2447,0
1884,2447,1
1883,2447,2
2830,2447,3
1,2447,4
5651,5651,0
4525,5651,1
3538,5651,2
2830,5651,3
1,5651,4
2491,2491,0
2715,2491,1
1163,2491,2
2332,2491,3
2830,2491,4
1,2491,5
4304,4304,0
4168,4304,1
4167,4304,2
1265,4304,3
1,4304,4
1791,1791,0
4972,1791,1
225,1791,2
2833,1791,3
1,1791,4
1406,1406,0
1315,1406,1
1314,1406,2
2830,1406,3
1,1406,4
5639,5639,0
1305,5639,1
225,5639,2
2833,5639,3
1,5639,4
3104,3104,0
4882,3104,1
1332,3104,2
2830,3104,3
1,3104,4
5499,5499,0
4880,5499,1
1332,5499,2
2830,5499,3
1,5499,4
1789,1789,0
242,1789,1
2833,1789,2
1,1789,3
4466,4466,0
4456,4466,1
2414,4466,2
2028,4466,3
2830,4466,4
1,4466,5
254,254,0
242,254,1
2833,254,2
1,254,3
2833,2833,0
1,2833,1
5084,5084,0
1988,5084,1
1980,5084,2
1,5084,3
1024,1024,0
373,1024,1
225,1024,2
2833,1024,3
1,1024,4
3139,3139,0
3012,3139,1
2980,3139,2
1280,3139,3
1,3139,4
3345,3345,0
1331,3345,1
1743,3345,2
1314,3345,3
2830,3345,4
1,3345,5
5721,5721,0
1835,5721,1
4966,5721,2
4941,5721,3
2836,5721,4
1,5721,5
2623,2623,0
1358,2623,1
1355,2623,2
1883,2623,3
2830,2623,4
1,2623,5
1942,1942,0
2510,1942,1
1965,1942,2
1,1942,3
306,306,0
4948,306,1
4974,306,2
300,306,3
1,306,4
1910,1910,0
236,1910,1
106,1910,2
2833,1910,3
1,1910,4
1109,1109,0
403,1109,1
4941,1109,2
2836,1109,3
1,1109,4
1945,1945,0
2835,1945,1
1,1945,2
5290,5290,0
5278,5290,1
4776,5290,2
2830,5290,3
1,5290,4
6190,6190,0
1171,6190,1
2332,6190,2
2830,6190,3
1,6190,4
5461,5461,0
6102,5461,1
1578,5461,2
6082,5461,3
1575,5461,4
1,5461,5
1698,1698,0
1986,1698,1
1980,1698,2
1,1698,3
2153,2153,0
1990,2153,1
1960,2153,2
1,2153,3
1419,1419,0
2707,1419,1
1990,1419,2
1960,1419,3
1,1419,4
4946,4946,0
1,4946,1
2438,2438,0
2035,2438,1
300,2438,2
1,2438,3
4400,4400,0
1938,4400,1
1746,4400,2
1314,4400,3
2830,4400,4
1,4400,5
446,446,0
431,446,1
4955,446,2
300,446,3
1,446,4
1256,1256,0
4885,1256,1
1272,1256,2
1332,1256,3
2830,1256,4
1,1256,5
3967,3967,0
5833,3967,1
2248,3967,2
1,3967,3
4065,4065,0
2714,4065,1
2707,4065,2
1990,4065,3
1960,4065,4
1,4065,5
5729,5729,0
5667,5729,1
1960,5729,2
1,5729,3
4179,4179,0
4176,4179,1
1265,4179,2
1,4179,3
3288,3288,0
1280,3288,1
1,3288,2
2611,2611,0
1333,2611,1
